_id,id,nickname,battles_in_0,dmg_in_0,winrate_in_0,battles_in_1,dmg_in_1,winrate_in_1,battles_in_4,dmg_in_4,winrate_in_4,battles_in_3,dmg_in_3,winrate_in_3,clantag,is_stats_closed,kills_in_0,spotting_in_0,kills_in_1,spotting_in_1,kills_in_3,spotting_in_3
5fa7ff35805c92047577eefd,624701854,Lamando,82,1038.1,41.5,346,8548.59,82.4,0,0,0,33,3810.75,48.5,PLA,false,0.39,406.5731707317073,4.78,4351.872832369942,2.61,1798.7272727272727
5fa7ff35805c92047577eefe,641047116,NPC-Zhou,67,1064.58,47.8,557,9472.82,77.4,0,0,0,22,6889.59,50,PLA,false,0.64,271.32835820895525,4.98,3267.470377019749,2.73,1225.8636363636363
5fa7ff35805c92047577eeff,640957831,huaxiamin,260,785.24,44.2,250,5678.07,82.4,0,0,0,14,3063.28,28.6,PLA,false,0.44,332.4846153846154,4.89,2992.876,1.29,2171.4285714285716
5fa7ff35805c92047577ef01,641800601,chuntianchiying,1580,1998.89,53.5,643,7638.68,55.2,0,0,0,486,8679.61,49.2,PLA,false,0.93,402.2886075949367,4.46,1319.8849144634526,3.23,1084.5267489711935
5fa7ff35805c92047577ef03,640398276,XiGua,21,925.09,52.4,167,4630.62,91,0,0,0,1,3154,0,PLA,false,0.81,473.57142857142856,6.53,2085.676646706587,0,962
5fa7ff35805c92047577ef04,581155845,SX_honkong,2136,2542.05,54.7,96,10408.98,80.2,0,0,0,270,14274.13,60.7,PLA,false,1.06,535.3375468164794,5.89,3424.1458333333335,4.57,2596.0407407407406
5fa7ff36805c92047577ef05,595770346,evgeny051282,3246,1832.15,48.9,1979,10048.91,74.5,44,2106.81,47.7,3490,9648.77,51,R_T_A,false,0.77,455.17097966728284,5.85,2533.2642748863063,3.6,2278.9329512893983
5fa7ff36805c92047577ef07,587847554,ПАПАЙ-МОРЯК,197,1154.97,44.7,1004,11029.24,90.9,0,0,0,1,4015,100,R_T_A,false,0.4,317.43654822335026,6.55,3045.6434262948205,2,2541
5fa7ff36805c92047577ef08,382629800,deza84,208,823.39,45.7,18265,15280.17,90.4,0,0,0,5,6373.4,60,R_T_A,false,0.38,418.71634615384613,6.78,4236.253983027648,3.6,2841.6
5fa7ff36805c92047577ef09,776419780,EX-SOLDIER,0,0,0,31,6330.29,100,0,0,0,0,0,0,R_T_A,false,0,0,6.55,1115.741935483871,0,0
5fa7ff36805c92047577ef0b,535538801,b00geYman,11,1390.45,45.5,589,11160.13,90.2,0,0,0,0,0,0,R_T_A,false,1.64,212.8181818181818,8.37,1204.9864176570459,0,0
5fa7ff36805c92047577ef0d,775201279,NArek00,59,1517.03,54.2,4,3044.25,100,0,0,0,0,0,0,R_T_A,false,1.54,149.57627118644066,4.5,270,0,0
5fa7ff36805c92047577ef10,512384346,dimoxx_x,1688,1034,46.3,1447,7164.65,76.8,0,0,0,388,2674.87,44.8,R_T_A,false,0.59,315.9229857819905,5.4,2194.062197650311,1.06,1118.8067010309278
5fa7ff36805c92047577ef11,644703712,dip312,1107,1202.36,44.4,117,6668.33,74.4,5,1749.6,60,242,3485.98,40.1,R_T_A,false,0.44,222.84101174345076,5.21,1521.5982905982905,1.26,1182.5578512396694
5fa7ff36805c92047577ef12,510859375,Tumee,452,903.89,42,10780,8953.56,85.7,1,957,100,709,6284.61,43.6,R_T_A,false,0.3,308.2234513274336,6.68,2757.2528756957327,2.45,1265.7954866008463
5fa7ff36805c92047577ef13,491130809,Dmitriys1975,402,843.1,45.8,2874,13730.21,66.6,0,0,0,1028,8198.24,52,R_T_A,false,0.42,321.81094527363183,7.99,1851.1913709116213,2.92,3036.147859922179
5fa7ff36805c92047577ef14,586224296,ArmaevD,2241,1494.54,48.7,2933,10238.1,65.1,0,0,0,9,5437.66,33.3,R_T_A,false,0.51,334.9263721552878,5.41,1544.8469144220935,1.56,1111
5fa7ff36805c92047577ef15,440116636,ALEX505TT,6052,1518.56,49.6,4575,13994.26,79.3,0,0,0,1428,8112.55,52.6,R_T_A,false,0.64,586.7855254461335,7.28,3388.1787978142074,2.9,2528.53081232493
5fa7ff36805c92047577ef16,632951971,марк1973,501,676.91,45.9,1991,5963.47,69.4,8,502.5,25,168,3375.94,44.6,R_T_A,false,0.27,285.30139720558884,3.92,1759.2948267202412,1.14,1746.6964285714287
5fa7ff36805c92047577ef17,602348772,Sinzy,10190,1533.53,47.6,702,9639.58,83.5,0,0,0,8,3392.25,50,R_T_A,false,0.47,459.79931305201177,5.12,2949.6894586894587,0.88,2458.5
5fa7ff36805c92047577ef1a,406021315,PerezzZ11,2737,736.19,46,3645,6810.28,74.3,1,1319,0,1864,5998.07,42.1,R_T_A,false,0.31,451.41614906832297,4.05,2434.7377229080935,1.93,1243.3986051502145
5fa7ff36805c92047577ef1c,671641984,Июль,2124,1041.64,43.6,6885,9959.29,63.7,0,0,0,1542,4383.78,48.8,R_T_A,false,0.45,385.61064030131826,5.77,1911.148438634713,1.8,2130.4332036316473
5fa7ff36805c92047577ef1f,577620660,Volod2020,987,475.68,45.2,16614,10599.42,87.3,29,947.48,41.4,165,5271.3,41.8,R_T_A,false,0.2,308.4062816616008,5.37,2240.8133501865896,1.57,2256.030303030303
5fa7ff36805c92047577ef21,597424128,alex6453709,4318,748.37,44.6,293,3464.23,68.3,0,0,0,562,2005.54,46.8,R_T_A,false,0.28,256.52385363594254,2.85,1276.419795221843,0.78,1848.5284697508896
5fa7ff36805c92047577ef24,582432761,ВАМПИЗ,5996,1062.45,48.8,311,6845.33,56.9,0,0,0,481,5581.87,46.8,R_T_A,false,0.42,423.23415610406937,4.25,1938.7363344051446,2.04,1674.983367983368
